进攻方胜率,被模拟次数,防守队伍构成
11.5%,61,春剑 黄骑 魔驴 els 蚊子
14.4%,194,布丁 裁缝 水emt 菲欧 蚊子
20.9%,67,水m 水星 水电 梦狐 春龙妈
22.4%,67,跳跳虎 黄骑 爱梅斯 els 蚊子
23.9%,67,跳跳虎 妹弓 魔驴 黑猫 蚊子
23.9%,67,黑姐 圣吃 黄骑 路人妹 妹弓
26.9%,67,春剑 跳跳虎 史莱姆 水emt 蚊子
29.8%,104,驴 魔驴 爱梅斯 水多娜 els
29.9%,67,布丁 跳跳虎 猪妹 爱梅斯 els
29.9%,67,跳跳虎 黄骑 魔驴 雪哥 蚊子
30.7%,199,布丁 黑姐 裁缝 路人妹 菲欧
31.3%,67,子龙 水电 水emt 黑猫 猫咖
31.3%,67,水m 黄骑 路人妹 水emt 爱梅斯
32.8%,67,春剑 水emt 菲欧 水多娜 els
33.3%,189,水星 水电 魔驴 水多娜 雪哥
35.8%,67,春剑 黄骑 路人妹 花凛 els
37.3%,67,水星 水电 春龙妈 黑猫 瓜眼
46.3%,67,奶牛 江月 水电 梦狐 老师
51.5%,134,春剑 跳跳虎 黄骑 水千 蚊子
52.2%,134,春剑 水星 水电 狼布丁 水emt
