进攻突破率,数据源数,候选数范围,防守队伍构成
12.5%,1,56~56,布丁 蚊子 瓜松 水emt 水多娜
14.3%,2,56~56,跳跳虎 布丁 水星 512 els
14.3%,1,56~56,布丁 水星 蚊子 水m 水多娜
19.6%,1,56~56,黄骑 春剑 蚊子 els 水多娜
19.6%,1,56~56,春剑 蚊子 爱梅斯 水m 水emt
21.4%,1,56~56,水星 蚊子 水m 水emt 水多娜
23.2%,1,56~56,布丁 春剑 水星 水多娜 菲欧
23.2%,1,56~56,布丁 魔驴 蚊子 水emt 菲欧
26.8%,1,56~56,圣望 蚊子 水emt 水多娜 紫罗兰
30.4%,1,56~56,黄骑 羊驼 路人妹 蚊子 水多娜
32.1%,1,56~56,跳跳虎 裁缝 水电 魔驴 车眼
32.1%,2,56~56,黄骑 空花 魔栞 蚊子 水emt
32.1%,1,56~56,黄骑 路人妹 情病 蚊子 爱梅斯
32.1%,1,56~56,圣伊 蚊子 水emt 紫罗兰 火机
33.9%,1,56~56,雪哥 水电 魔驴 水星 水多娜
34.8%,2,56~56,女仆 路人妹 圣望 圣伊 菲欧
35.7%,1,56~56,布丁 春剑 els 涅妃 水多娜
35.7%,1,56~56,黄骑 春剑 史莱姆 水emt 菲欧
37.5%,1,56~56,布丁 雪哥 老师 黄骑 魔驴
39.3%,1,56~56,黄骑 春剑 水星 els 水多娜
